ID_Line,Name_Line,ShortName_Line,TransportMode,OperatorRef,OperatorName,NetworkName,ColourWeb_hexa,TextColourWeb_hexa,TextColourPrint_hexa,ID_GroupOfLines,ShortName_GroupOfLines,Picto
C00879,3602,3602,bus,1009,Transdev Melun,Grand Melun,0069b2,ffffff,ffffff,A00759,MELUN (GARE DE MELUN)  - MELUN (SCHUMANN),https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/referentiel-des-lignes/files/37b0b83646222f1e3a45084a6eb6a7f7
C01550,703,703,bus,1024,Transdev Nord Seine-Saint-Denis,Terres d'Envol,3bb2ff,0,0,A01387,LE BOURGET (RER)  - DRANCY (Square de la Libération),https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/referentiel-des-lignes/files/6841df15cd1d4f38223673f4a768b014
C00322,4303,4303,bus,1016,Keolis Val d'Essonne Deux Vallées,Essonne Sud Est,4dffff,0,0,A00299,BALLANCOURT-SUR-ESSONNE - BALLANCOURT-SUR-ESSONNE,
C01350,565,565,bus,100,RATP,,00643c,ffffff,ffffff,A01233,565 - Navette Hauts de Rueil,
C00635,43,43,bus,1002,Transdev Marne-la-Vallée,Marne-la-Vallée,8d653d,ffffff,ffffff,A00543,SERRIS (Val d'Europe)  - CHESSY (Chessy Gares),https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/referentiel-des-lignes/files/37b0b83646222f1e3a45084a6eb6a7f7
C01081,31,31,bus,100,RATP,,ffbe00,0,0,A00935,31,
C02197,17B,17B,bus,1040,Francilité Seine et Oise,Cergy-Pontoise Confluence,9c91c5,ffffff,ffffff,A02799,Ligne 17B - Conflans Sainte Honorine (SNCF Conflans Fin d'Oise) - Conflans Sainte Honorine (Les Hautes Rayes),
C00424,M,M,bus,1037,Transdev Sud Yvelines,Centre et Sud Yvelines,eb631a,ffffff,ffffff,A00377,MONTFORT-L'AMAURY (College du Bel Air)  - BEYNES,
C00294,2,2,bus,1012,Keolis Argenteuil Boucles de Seine,Argenteuil - Boucles de Seine,ff8c57,0,0,A00287,ARGENTEUIL - SANNOIS,
C01720,3907D,3907D,bus,1037,Transdev Sud Yvelines,Centre et Sud Yvelines,97b0af,0,0,A00428,ORSAY (GARE RER)  - ST-ARNOULT-EN-YVELINES (FOSSE AUX CHEVAUX),
C02076,6276,6276,bus,1034,Transdev Versailles,Grand Versailles,deb41b,0,0,A02283,NOISY-LE-ROI - VAUCRESSON,
C01709,30-47,30-47,bus,30,Cars Lacroix,Parisis,e20025,ffffff,ffffff,A01770,30-47,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/referentiel-des-lignes/files/37b0b83646222f1e3a45084a6eb6a7f7
C00747,L,L,bus,1011,RD Mantois,Mantois,dfaf47,ffffff,ffffff,A00644,LIMAY Fosses Rouges - LIMAY Lycée Condorcet,
C00662,DM2A,DM2A,bus,1033,Transdev Cœur Essonne,Cœur d’Essonne,82c8e6,0,0,A00570,ST-MICHEL-SUR-ORGE (RER)  - STE-GENEVIEVE-DES-BOIS (CROIX BLANCHE),
C02464,Soirée Domont,Soir,bus,1008,Transdev Valmy,Vallée de Montmorency,652c8f,ffffff,ffffff,A02505,Bus soirée Domont,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/referentiel-des-lignes/files/37b0b83646222f1e3a45084a6eb6a7f7
C00476,95-20,95-20,bus,30,Cars Lacroix,Valoise,3bb2ff,0,0,A00413,CERGY (Préfecture)  - CORMEILLES-EN-PARISIS,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/referentiel-des-lignes/files/37b0b83646222f1e3a45084a6eb6a7f7
C00020,121,121,bus,1025,Keolis Portes et Val de Brie,Pays Briard,8d5e2a,ffffff,ffffff,A00018,FAVIERES - TOURNAN-EN-BRIE,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/referentiel-des-lignes/files/37b0b83646222f1e3a45084a6eb6a7f7
C00366,LM2,LM2,bus,1015,Keolis Val d'Yerres Val de Seine,Val d'Yerres Val de Seine,e30059,ffffff,ffffff,A00333,MONTGERON (Lycée)  - DRAVEIL - JUVISY-SUR-ORGE (Gare routière),
C01256,275,275,bus,100,RATP,,ffbe00,0,0,A01116,275,
C01679,T3b,T3b,tram,100,RATP,,00ae41,ffffff,ffffff,A01757,T3b,https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/referentiel-des-lignes/files/919aee035abf4591de29f13988d63bc9
C01220,203,203,bus,100,RATP,,ff82b4,0,0,A01078,203,
