codeunique,nom_long,id_ref_ZdC,nom_ZdC,id_ref_ZdA,nom_ZdA,idrefliga,idrefligc,res_com,mode_,train,rer,metro,tramway,val,tertrain,terrer,termetro,tertram,terval,exploitant,idf,principal,x,y
1710,Joncherolles,73922,Joncherolles,58638,Joncherolles,A01760,C01684,TRAM 5,TRAM,0,0,0,1,0,0,0,0,0,0,RATP,1,1,653007.7037,6873037.4004
1712,Guynemer,72365,Guynemer,50685,Guynemer,A01760,C01684,TRAM 5,TRAM,0,0,0,1,0,0,0,0,0,0,RATP,1,1,652937.9594,6872218.5597
1713,Roger Sémat,72355,Roger Semât,50681,Roger Semât,A01760,C01684,TRAM 5,TRAM,0,0,0,1,0,0,0,0,0,0,RATP,1,1,652901.5526,6871841.9509
1815,Bretagne,69888,Bretagne,47694,Bretagne,A02134,C01774,TRAM 7,TRAM,0,0,0,1,0,0,0,0,0,0,RATP,1,0,653552.7706,6852195.7766
117071,Gilbert Bonnemaison,72381,Gilbert Bonnemaison,59249,Gilbert Bonnemaison,A02150,C01795,TRAM 8,TRAM,0,0,0,1,0,0,0,0,0,0,RATP,1,1,649313.0057,6873053.1565
117048,Meudon-la-Forêt,69466,Meudon-la-Forêt,42830,Meudon-la-Forêt,A02149,C01794,TRAM 6,TRAM,0,0,0,1,0,0,0,0,0,0,RATP,1,0,643077.1253,6853995.816
117043,Mairie de Vélizy,63706,Mairie de Vélizy,42430,Mairie de Vélizy,A02149,C01794,TRAM 6,TRAM,0,0,0,1,0,0,0,0,0,0,RATP,1,0,640585.0575,6853677.8126
117042,L’Onde,73918,L'Onde - Maison des Arts / Ravel,43501,L'Onde (Maison des Arts),A02149,C01794,TRAM 6,TRAM,0,0,0,1,0,0,0,0,0,0,RATP,1,0,639784.7373,6853856.4077
1032,Le Village,72305,Le Village,50664,Le Village,A01191,C01389,TRAM 1,TRAM,0,0,0,1,0,0,0,0,0,0,RATP,1,1,648319.3156,6870606.2437
1033,Le Luth,72300,Le Luth,46452,Le Luth,A01191,C01389,TRAM 1,TRAM,0,0,0,1,0,0,0,0,0,0,RATP,1,1,647882.0794,6870438.7531
